airport_node,page_rank_value
KNK,0.7485325162648653
IDA,0.7473947283718503
TOG,0.7442665795631195
HNS,0.7398691093671512
SCF,0.7394442382956424
GFK,0.7317306785585336
IRC,0.7299523520721369
OBU,0.7236388790846257
KQA,0.7206705270513917
CPX,0.7204647015378897
CDV,0.7153964355838682
PTA,0.7137104837185626
MYU,0.7132546628681928
STS,0.7117679159950494
COU,0.7116093128407136
DRG,0.7079833169837317
GRK,0.7070501092941344
NCN,0.6958670079653018
MHK,0.681619689170745
BGR,0.6785969673370122
KBC,0.6771538395209508
WHD,0.6713659958995255
NKI,0.6713659958995255
ANV,0.6693529353415976
HCR,0.6689408196797024
TRI,0.6551108912490039
KEB,0.6533146730965795
PGM,0.6533146730965795
CRP,0.6532150229416575
SBP,0.6528181513765847
KYK,0.6467727121815392
JAN,0.6457800858638301
SGY,0.6420489437867106
PTU,0.6387242017200003
VQS,0.6348324014204488
SWF,0.6339731950527441
CHO,0.6332684031219851
CXF,0.6326891849976802
LFT,0.631958121361965
GYY,0.6230698759007895
CPR,0.618003718190194
MLY,0.6161415397353268
ACK,0.6133673256732971
BFL,0.6106195742389534
MVY,0.6092207009105205
TOL,0.6065219598077992
